filename,n_objects,class,split
2241.jpg,25,apples,test_coco
2243.jpg,544,apples,test_coco
2244.jpg,12,apples,test_coco
2245.jpg,82,apples,test_coco
2246.jpg,37,apples,test_coco
2247.jpg,16,apples,test_coco
2248.jpg,53,apples,test_coco
2252.jpg,82,apples,test_coco
2255.jpg,20,apples,test_coco
2256.jpg,59,apples,test_coco
2257.jpg,23,apples,test_coco
2258.jpg,75,apples,test_coco
2259.jpg,174,apples,test_coco
226.jpg,78,grapes,val
2260.jpg,11,apples,test_coco
2261.jpg,174,apples,test_coco
2262.jpg,9,apples,test_coco
2264.jpg,12,apples,test_coco
2265.jpg,57,apples,test_coco
2267.jpg,9,apples,test_coco
2268.jpg,74,apples,test_coco
2269.jpg,11,apples,test_coco
227.jpg,25,grapes,val
2270.jpg,50,apples,test_coco
2271.jpg,42,apples,test_coco
2272.jpg,15,apples,test_coco
2273.jpg,165,apples,test_coco
2274.jpg,66,apples,test_coco
2275.jpg,38,apples,test_coco
2276.jpg,30,apples,test_coco
2277.jpg,49,apples,test_coco
2279.jpg,37,apples,test_coco
228.jpg,44,grapes,val
2280.jpg,157,apples,test_coco
2281.jpg,22,apples,test_coco
2282.jpg,47,apples,test_coco
2284.jpg,25,apples,test_coco
2285.jpg,48,apples,test_coco
2286.jpg,14,apples,test_coco
2287.jpg,195,apples,test_coco
2288.jpg,18,apples,test_coco
2289.jpg,15,stapler pins,train
229.jpg,25,grapes,val
2291.jpg,70,stapler pins,Unknown
2293.jpg,59,stapler pins,train
2298.jpg,8,camels,val
23.jpg,10,bread rolls,train
2300.jpg,19,camels,val
2301.jpg,14,camels,val
2302.jpg,11,camels,val
2303.jpg,12,camels,val
2304.jpg,9,camels,val
2305.jpg,27,camels,val
2306.jpg,14,camels,val
231.jpg,24,grapes,val
2312.jpg,14,camels,val
2313.jpg,8,camels,val
2316.jpg,58,camels,val
2317.jpg,10,camels,val
232.jpg,27,grapes,val
2320.jpg,99,bricks,train
2321.jpg,80,bricks,train
2322.jpg,103,bricks,train
2323.jpg,32,bricks,train
2326.jpg,240,bricks,train
2327.jpg,50,bricks,train
2328.jpg,262,bricks,train
233.jpg,126,grapes,val
2330.jpg,144,bricks,train
2332.jpg,69,bricks,train
2333.jpg,27,bricks,train
2335.jpg,21,bricks,train
234.jpg,38,grapes,val
2342.jpg,501,bricks,train
2343.jpg,27,bricks,train
2344.jpg,25,bricks,train
2347.jpg,1912,bricks,train
2348.jpg,834,bricks,train
2353.jpg,175,bricks,train
2354.jpg,271,bricks,train
2355.jpg,254,bricks,train
2356.jpg,119,bricks,train
2357.jpg,276,bricks,train
2359.jpg,262,bricks,train
236.jpg,11,grapes,val
2360.jpg,1283,bricks,train
2361.jpg,16,bricks,train
2367.jpg,149,bricks,train
2369.jpg,240,bricks,train
237.jpg,65,grapes,val
2373.jpg,130,bricks,train
2378.jpg,62,bricks,train
2379.jpg,119,bricks,train
238.jpg,20,grapes,val
2387.jpg,12,bricks,train
239.jpg,26,grapes,val
2390.jpg,672,bricks,train
2391.jpg,47,bricks,train
2394.jpg,237,bricks,train
2398.jpg,72,bricks,train
2399.jpg,169,bricks,train
24.jpg,27,bread rolls,train
240.jpg,37,grapes,val
2400.jpg,218,bricks,train
2401.jpg,263,bricks,train
2402.jpg,40,bricks,train
2403.jpg,68,bricks,train
2404.jpg,9,horses,val_coco
2406.jpg,17,horses,val_coco
2409.jpg,59,horses,val_coco
241.jpg,35,grapes,val
2410.jpg,25,horses,val_coco
2411.jpg,9,horses,val_coco
2412.jpg,15,horses,val_coco
2413.jpg,8,horses,val_coco
2415.jpg,17,cups,train
2416.jpg,38,cups,train
2417.jpg,12,cups,train
2418.jpg,19,cups,train
2419.jpg,47,cups,train
2420.jpg,31,cups,train
2421.jpg,31,cups,train
2422.jpg,12,cups,train
2423.jpg,18,cups,train
2424.jpg,30,cups,train
2425.jpg,28,cups,train
2426.jpg,16,cups,train
2427.jpg,22,cups,train
2428.jpg,26,cups,train
2429.jpg,33,cups,train
243.jpg,33,grapes,val
2430.jpg,28,cups,train
2431.jpg,20,cups,train
2432.jpg,11,cups,train
2434.jpg,16,cups,train
2435.jpg,22,cups,train
2437.jpg,28,cups,train
2438.jpg,14,cups,train
2439.jpg,28,cups,train
244.jpg,12,grapes,val
2440.jpg,35,cups,train
2441.jpg,9,cups,train
2442.jpg,18,cups,train
2444.jpg,23,cups,train
2445.jpg,12,cups,train
2446.jpg,23,cups,train
2447.jpg,12,windows,train
2449.jpg,108,windows,train
245.jpg,55,grapes,val
2450.jpg,40,windows,train
2452.jpg,40,windows,train
2453.jpg,49,windows,train
2454.jpg,48,windows,train
2455.jpg,20,windows,train
2456.jpg,30,windows,train
2457.jpg,13,windows,train
2458.jpg,12,windows,train
2459.jpg,113,windows,train
246.jpg,30,grapes,val
2460.jpg,15,windows,train
2461.jpg,12,windows,train
2462.jpg,24,windows,train
2463.jpg,120,windows,train
2465.jpg,23,windows,train
2466.jpg,53,windows,train
2467.jpg,42,windows,train
2468.jpg,52,windows,train
2469.jpg,286,windows,train
2470.jpg,56,windows,train
2471.jpg,26,windows,train
2472.jpg,40,windows,train
2473.jpg,45,windows,train
2474.jpg,45,windows,train
2476.jpg,45,windows,train
2477.jpg,13,windows,train
2478.jpg,56,windows,train
2479.jpg,190,windows,train
248.jpg,48,grapes,val
2480.jpg,381,windows,train
2481.jpg,41,lipstick,train
2482.jpg,26,lipstick,train
2483.jpg,14,lipstick,train
2484.jpg,14,lipstick,train
2485.jpg,50,lipstick,train
2486.jpg,34,lipstick,train
2487.jpg,12,lipstick,train
2488.jpg,28,lipstick,train
2489.jpg,86,lipstick,train
249.jpg,45,grapes,val
2490.jpg,22,lipstick,train
2491.jpg,11,lipstick,train
2492.jpg,15,lipstick,train
2494.jpg,27,lipstick,train
2495.jpg,12,lipstick,train
2496.jpg,80,lipstick,train
2497.jpg,49,lipstick,train
2498.jpg,12,lipstick,train
2499.jpg,10,lipstick,train
250.jpg,50,grapes,val
2500.jpg,25,lipstick,train
2501.jpg,64,lipstick,train
2502.jpg,25,lipstick,train
2503.jpg,39,lipstick,train
2504.jpg,48,lipstick,train
2506.jpg,12,lipstick,train
2507.jpg,28,lipstick,train
2508.jpg,16,lipstick,train
2509.jpg,12,lipstick,train
251.jpg,69,grapes,val
2510.jpg,62,lipstick,train
2511.jpg,74,lipstick,train
2512.jpg,14,lipstick,train
2513.jpg,14,lipstick,train
2514.jpg,72,lipstick,train
2515.jpg,16,lipstick,train
2516.jpg,28,lipstick,train
2517.jpg,62,lipstick,train
2518.jpg,26,lipstick,train
2519.jpg,49,spoon,train
252.jpg,22,grapes,val
2520.jpg,17,spoon,train
2521.jpg,18,spoon,train
2522.jpg,20,spoon,train
2523.jpg,8,spoon,train
2524.jpg,8,spoon,train
2525.jpg,44,spoon,train
2526.jpg,13,spoon,train
2527.jpg,20,spoon,train
2528.jpg,10,spoon,train
2529.jpg,17,spoon,train
253.jpg,192,grapes,val
2530.jpg,13,spoon,train
2531.jpg,34,spoon,train
2533.jpg,10,spoon,train
2534.jpg,8,spoon,train
2535.jpg,8,spoon,Unknown
2536.jpg,16,spoon,train
2537.jpg,24,spoon,train
2538.jpg,8,spoon,train
2539.jpg,27,spoon,train
254.jpg,74,grapes,val
2540.jpg,31,spoon,train
2541.jpg,12,bottles,train
2543.jpg,27,alcohol bottles,train
2545.jpg,28,alcohol bottles,train
2546.jpg,30,alcohol bottles,train
2547.jpg,49,alcohol bottles,train
255.jpg,50,grapes,val
2550.jpg,73,alcohol bottles,train
2552.jpg,9,alcohol bottles,train
2553.jpg,97,alcohol bottles,train
2554.jpg,48,alcohol bottles,train
2555.jpg,36,alcohol bottles,train
2556.jpg,61,alcohol bottles,train
2557.jpg,65,alcohol bottles,train
2558.jpg,8,alcohol bottles,train
2559.jpg,10,alcohol bottles,train
256.jpg,38,grapes,val
2561.jpg,50,alcohol bottles,train
2562.jpg,138,alcohol bottles,train
2565.jpg,39,alcohol bottles,train
2566.jpg,96,alcohol bottles,train
2567.jpg,78,alcohol bottles,train
257.jpg,191,grapes,val
2570.jpg,22,alcohol bottles,train
2572.jpg,115,alcohol bottles,train
2573.jpg,8,alcohol bottles,train
2575.jpg,81,alcohol bottles,train
258.jpg,149,watermelon,train
2580.jpg,75,alcohol bottles,train
2583.jpg,76,alcohol bottles,train
2584.jpg,105,alcohol bottles,train
2585.jpg,13,alcohol bottles,train
2586.jpg,33,alcohol bottles,train
259.jpg,27,watermelon,train
2590.jpg,56,alcohol bottles,train
2591.jpg,45,alcohol bottles,train
2596.jpg,260,alcohol bottles,train
2598.jpg,18,alcohol bottles,train
26.jpg,14,bread rolls,train
260.jpg,33,watermelon,train
2600.jpg,13,alcohol bottles,train
2601.jpg,145,alcohol bottles,train
2602.jpg,58,alcohol bottles,train
2605.jpg,34,alcohol bottles,train
2607.jpg,36,deers,test
261.jpg,118,watermelon,train
2611.jpg,18,deers,test
2612.jpg,28,deers,test
2613.jpg,15,deers,test
2614.jpg,20,deers,test
2615.jpg,9,deers,test
2617.jpg,41,deers,test
2619.jpg,47,deers,test
2621.jpg,20,cement bags,train
2624.jpg,46,cement bags,train
2625.jpg,13,cement bags,train
2628.jpg,13,cement bags,train
263.jpg,20,watermelon,train
2630.jpg,17,cement bags,train
2631.jpg,67,cement bags,train
2635.jpg,27,cement bags,train
2636.jpg,67,cement bags,train
2637.jpg,10,cement bags,train
2639.jpg,124,cement bags,train
264.jpg,16,watermelon,train
2640.jpg,39,cement bags,train
2641.jpg,167,cement bags,train
2642.jpg,42,cement bags,train
2644.jpg,56,cement bags,train
2646.jpg,41,cement bags,train
2647.jpg,38,cement bags,train
2648.jpg,91,cement bags,train
265.jpg,19,watermelon,train
2650.jpg,28,cement bags,train
2651.jpg,34,cement bags,train
2653.jpg,92,bowls,train
2654.jpg,77,bowls,train
2659.jpg,13,bowls,train
2660.jpg,21,bowls,train
2661.jpg,52,bowls,train
2662.jpg,19,bowls,train
2663.jpg,75,bowls,train
2664.jpg,20,bowls,train
2665.jpg,9,bowls,train
2667.jpg,27,bowls,train
2668.jpg,50,bowls,train
267.jpg,59,beads,train
2670.jpg,17,bowls,train
2671.jpg,60,bowls,train
2672.jpg,67,bowls,train
2673.jpg,14,bowls,train
2674.jpg,17,bowls,train
2676.jpg,47,bowls,train
2679.jpg,49,bowls,train
268.jpg,50,beads,train
2680.jpg,10,go game,train
2681.jpg,67,go game,train
2682.jpg,145,go game,train
2683.jpg,23,go game,train
2684.jpg,88,go game,train
2686.jpg,139,go game,train
2687.jpg,27,go game,train
2688.jpg,94,go game,train
2689.jpg,142,go game,train
269.jpg,12,beads,train
2690.jpg,12,go game,train
2694.jpg,104,oranges,train
2695.jpg,54,oranges,train
2696.jpg,57,oranges,train
2697.jpg,38,oranges,train
2698.jpg,27,oranges,train
2699.jpg,72,oranges,train
27.jpg,9,bread rolls,train
270.jpg,33,candles,train
2700.jpg,17,oranges,train
2701.jpg,18,oranges,train
2702.jpg,24,oranges,train
2703.jpg,26,oranges,train
2704.jpg,16,oranges,train
2705.jpg,148,oranges,train
2706.jpg,11,oranges,train
2707.jpg,48,oranges,train
2708.jpg,90,oranges,train
2709.jpg,39,oranges,train
271.jpg,9,oysters,val
2710.jpg,61,oranges,train
2713.jpg,23,oranges,train
2715.jpg,85,oranges,train
2716.jpg,30,oranges,train
2717.jpg,94,oranges,train
2718.jpg,8,oranges,train
2719.jpg,50,oranges,train
272.jpg,8,penguins,train
2720.jpg,64,oranges,train
2721.jpg,37,oranges,train
2722.jpg,36,oranges,train
2723.jpg,23,oranges,train
2724.jpg,49,oranges,train
2725.jpg,131,oranges,train
2726.jpg,20,oranges,train
2727.jpg,15,oranges,train
2728.jpg,47,oranges,train
2729.jpg,14,oranges,train
2730.jpg,56,oranges,train
2731.jpg,63,oranges,train
2732.jpg,19,oranges,train
2733.jpg,27,oranges,train
2734.jpg,26,oranges,train
2737.jpg,43,oranges,train
2738.jpg,96,oranges,train
274.jpg,30,penguins,train
2740.jpg,49,oranges,train
2741.jpg,173,oranges,train
2742.jpg,98,oranges,train
2743.jpg,57,oranges,train
2744.jpg,38,oranges,train
2745.jpg,116,oranges,train
2746.jpg,115,oranges,train
2747.jpg,32,oranges,train
2748.jpg,23,oranges,train
2749.jpg,108,oranges,train
275.jpg,63,penguins,train
2750.jpg,32,oranges,train
2751.jpg,89,oranges,train
2752.jpg,39,oranges,train
2753.jpg,59,oranges,train
2754.jpg,68,oranges,train
2755.jpg,15,oranges,train
2757.jpg,63,oranges,train
2759.jpg,14,oranges,train
276.jpg,12,penguins,train
2760.jpg,26,oranges,train
2761.jpg,44,oranges,train
2762.jpg,48,oranges,train
2763.jpg,136,oranges,train
2764.jpg,49,oranges,train
2765.jpg,12,oranges,train
2766.jpg,54,oranges,train
2767.jpg,68,oranges,train
2768.jpg,438,oranges,train
2769.jpg,66,cans,train
277.jpg,8,penguins,train
2770.jpg,108,cans,train
2771.jpg,63,cans,train
2772.jpg,44,cans,train
2774.jpg,101,cans,train
2775.jpg,1672,cans,train
2776.jpg,16,cans,train
2778.jpg,108,cans,train
2779.jpg,25,cans,train
2781.jpg,20,cans,train
2782.jpg,20,cans,train
2783.jpg,11,cans,train
2784.jpg,23,cans,train
2785.jpg,104,cans,train
2786.jpg,12,cans,train
2787.jpg,83,cans,train
2788.jpg,24,cans,train
2789.jpg,10,cans,train
279.jpg,11,penguins,train
2790.jpg,15,cans,train
2791.jpg,23,cans,train
2792.jpg,278,cans,train
2793.jpg,24,cans,train
2794.jpg,8,cans,train
2795.jpg,12,cans,train
2796.jpg,19,cans,train
2797.jpg,86,cans,train
2799.jpg,80,cans,train
28.jpg,8,bread rolls,train
280.jpg,11,penguins,train
2800.jpg,13,cans,train
2802.jpg,10,cans,train
2803.jpg,61,cans,train
2804.jpg,16,cans,train
2805.jpg,40,cans,train
2806.jpg,84,cans,train
2807.jpg,263,chairs,val_coco
2808.jpg,26,chairs,val_coco
2809.jpg,45,chairs,val_coco
2812.jpg,158,chairs,val_coco
2815.jpg,49,chairs,val_coco
2816.jpg,45,chairs,val_coco
2818.jpg,252,chairs,val_coco
282.jpg,9,penguins,train
2820.jpg,34,chairs,val_coco
2822.jpg,136,chairs,val_coco
2825.jpg,8,chairs,val_coco
2826.jpg,22,chairs,val_coco
2827.jpg,140,chairs,val_coco
2828.jpg,58,chairs,val_coco
2829.jpg,61,chairs,val_coco
283.jpg,8,penguins,train
2830.jpg,62,chairs,val_coco
2832.jpg,8,chairs,Unknown
2834.jpg,9,chairs,val_coco
2835.jpg,89,chairs,val_coco
2836.jpg,9,chairs,val_coco
2837.jpg,25,chairs,val_coco
2839.jpg,67,chairs,val_coco
284.jpg,114,beads,train
2840.jpg,35,chairs,val_coco
2842.jpg,124,chairs,val_coco
2846.jpg,38,chairs,val_coco
2847.jpg,20,chairs,val_coco
2848.jpg,57,chairs,val_coco
2849.jpg,13,chairs,Unknown
285.jpg,28,strawberries,test
2850.jpg,287,chairs,val_coco
2851.jpg,61,chairs,val_coco
2854.jpg,16,chairs,val_coco
2855.jpg,56,chairs,val_coco
2857.jpg,107,chairs,val_coco
2858.jpg,131,chairs,val_coco
286.jpg,10,strawberries,test
2860.jpg,38,chairs,val_coco
2861.jpg,40,chairs,val_coco
2862.jpg,85,chairs,val_coco
2863.jpg,151,chairs,val_coco
2864.jpg,45,chairs,val_coco
2866.jpg,25,chairs,val_coco
2867.jpg,8,chairs,val_coco
2868.jpg,13,chairs,val_coco
2869.jpg,119,chairs,val_coco
287.jpg,21,strawberries,test
2870.jpg,23,chairs,val_coco
2871.jpg,48,chairs,val_coco
2872.jpg,10,chairs,val_coco
2873.jpg,11,chairs,val_coco
