,filename,n_objects,class,split,prompt_notation,description
181,3285.jpg,34,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
182,329.jpg,19,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
183,330.jpg,25,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
184,3308.jpg,153,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
185,3309.jpg,16,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
186,331.jpg,33,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
187,3310.jpg,31,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
188,3311.jpg,154,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
189,3312.jpg,136,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
190,3313.jpg,63,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
191,3314.jpg,92,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
192,3315.jpg,210,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
193,3317.jpg,43,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
194,3318.jpg,185,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
195,3319.jpg,68,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
196,332.jpg,11,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
197,3320.jpg,159,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
198,3321.jpg,49,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
199,3322.jpg,450,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
200,3323.jpg,9,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
201,3324.jpg,56,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
202,3326.jpg,122,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
203,3327.jpg,33,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
204,3328.jpg,99,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
205,3329.jpg,178,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
206,333.jpg,32,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
207,3330.jpg,57,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
208,3331.jpg,133,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
209,3332.jpg,66,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
210,3333.jpg,113,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
211,3334.jpg,146,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
212,3335.jpg,350,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
213,3336.jpg,72,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
214,3337.jpg,295,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
215,3338.jpg,258,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
216,3339.jpg,25,sea shells,test,a sea shell,"Curved, irregular objects with smooth or ridged surfaces, often white, pink, or brown in color."
217,334.jpg,35,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
218,3341.jpg,36,sea shells,test,a sea shell,"Curved, irregular objects with smooth or ridged surfaces, often white, pink, or brown in color."
219,3342.jpg,12,sea shells,test,a sea shell,"Curved, irregular objects with smooth or ridged surfaces, often white, pink, or brown in color."
220,335.jpg,12,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
221,336.jpg,16,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
222,337.jpg,13,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
223,339.jpg,18,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
224,340.jpg,14,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
225,341.jpg,13,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
226,342.jpg,63,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
227,3424.jpg,12,crab cakes,test,a crab cake,"Round, patty-shaped objects, golden-brown, with a crispy outer layer and soft, textured interior."
228,343.jpg,16,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
229,344.jpg,43,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
