Unnamed: 0,filename,n_objects,class,split,prompt_notation,description
89,2157.jpg,116,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
90,2159.jpg,621,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
91,2162.jpg,34,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
92,2163.jpg,13,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
93,2164.jpg,23,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
94,2165.jpg,24,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
95,2166.jpg,119,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
96,2168.jpg,175,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
97,2170.jpg,147,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
98,2171.jpg,20,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
99,2172.jpg,86,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
100,2173.jpg,169,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
101,2174.jpg,41,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
102,2175.jpg,91,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
103,2176.jpg,73,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
104,2177.jpg,27,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
105,2178.jpg,10,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
106,2179.jpg,16,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
107,2180.jpg,223,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
108,2181.jpg,12,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
109,2182.jpg,39,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
110,2184.jpg,33,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
111,2189.jpg,8,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
112,2190.jpg,23,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
113,2191.jpg,42,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
114,2192.jpg,24,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
115,2193.jpg,32,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
116,2194.jpg,38,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
117,2195.jpg,13,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
118,2197.jpg,90,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
119,2198.jpg,27,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
120,2199.jpg,13,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
121,2202.jpg,99,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
122,2203.jpg,22,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
123,2204.jpg,9,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
124,2206.jpg,88,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
125,2207.jpg,10,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
126,2208.jpg,13,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
127,2209.jpg,11,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
128,2210.jpg,41,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
129,2211.jpg,49,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
130,2213.jpg,97,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
131,2215.jpg,55,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
132,2216.jpg,36,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
133,2217.jpg,25,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
134,2218.jpg,15,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
135,2219.jpg,356,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
136,2220.jpg,16,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
137,2223.jpg,30,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
138,2225.jpg,19,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
139,2226.jpg,47,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
140,2227.jpg,11,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
141,2229.jpg,111,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
142,2232.jpg,96,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
143,2233.jpg,64,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
144,2234.jpg,11,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
145,2235.jpg,16,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
146,2236.jpg,98,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
147,2237.jpg,20,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
148,2238.jpg,26,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
149,2239.jpg,17,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
150,2240.jpg,54,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
151,2241.jpg,25,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
152,2243.jpg,544,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
153,2244.jpg,12,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
154,2245.jpg,82,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
155,2246.jpg,37,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
156,2247.jpg,16,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
157,2248.jpg,53,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
158,2252.jpg,82,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
159,2255.jpg,20,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
160,2256.jpg,59,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
161,2257.jpg,23,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
162,2258.jpg,75,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
163,2259.jpg,174,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
164,2260.jpg,11,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
165,2261.jpg,174,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
166,2262.jpg,9,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
167,2264.jpg,12,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
168,2265.jpg,57,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
169,2267.jpg,9,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
170,2268.jpg,74,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
171,2269.jpg,11,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
172,2270.jpg,50,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
173,2271.jpg,42,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
174,2272.jpg,15,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
175,2273.jpg,165,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
176,2274.jpg,66,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
177,2275.jpg,38,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
178,2276.jpg,30,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
179,2277.jpg,49,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
180,2279.jpg,37,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
181,2280.jpg,157,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
182,2281.jpg,22,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
183,2282.jpg,47,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
184,2284.jpg,25,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
185,2285.jpg,48,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
186,2286.jpg,14,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
187,2287.jpg,195,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
188,2288.jpg,18,apples,test_coco,an apple,"Round objects, typically red, green, or yellow, with smooth, glossy skin and firm texture."
189,2607.jpg,36,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
190,2611.jpg,18,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
191,2612.jpg,28,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
192,2613.jpg,15,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
193,2614.jpg,20,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
194,2615.jpg,9,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
195,2617.jpg,41,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
196,2619.jpg,47,deers,test,a deer,"Slender, quadrupedal objects with smooth brown fur, distinct antlers, and agile, graceful bodies."
197,285.jpg,28,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
198,286.jpg,10,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
199,287.jpg,21,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
200,288.jpg,26,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
201,289.jpg,26,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
202,290.jpg,13,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
203,2907.jpg,28,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
204,2908.jpg,33,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
205,291.jpg,14,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
206,2910.jpg,14,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
207,2912.jpg,72,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
208,2913.jpg,15,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
209,2914.jpg,28,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
210,2915.jpg,61,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
211,2916.jpg,202,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
212,2917.jpg,20,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
213,2918.jpg,25,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
214,292.jpg,32,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
215,2920.jpg,13,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
216,2921.jpg,27,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
217,2922.jpg,19,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
218,2923.jpg,86,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
219,2924.jpg,54,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
220,2925.jpg,65,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
221,2926.jpg,24,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
222,2927.jpg,49,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
223,2928.jpg,45,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
224,2929.jpg,77,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
225,293.jpg,41,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
226,2930.jpg,60,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
227,2931.jpg,43,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
228,2932.jpg,25,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
229,2933.jpg,45,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
230,2934.jpg,56,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
231,2935.jpg,13,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
232,2936.jpg,23,stamps,test,a stamp,"Small, rectangular objects, usually paper, with adhesive backing and printed designs or illustrations."
