,Unnamed: 0.1,Unnamed: 0,filename,n_objects,class,split,threshold,prompt_notation,predicted_counts,generated_description
105,105,105,2178.jpg,10,apples,test_coco,0.03,an apple,12,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
106,106,106,2179.jpg,16,apples,test_coco,0.03,an apple,18,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
107,107,107,2180.jpg,223,apples,test_coco,0.03,an apple,185,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
108,108,108,2181.jpg,12,apples,test_coco,0.03,an apple,0,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
109,109,109,2182.jpg,39,apples,test_coco,0.03,an apple,35,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
110,110,110,2184.jpg,33,apples,test_coco,0.03,an apple,28,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
111,111,111,2189.jpg,8,apples,test_coco,0.03,an apple,3,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
112,112,112,2190.jpg,23,apples,test_coco,0.03,an apple,23,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
113,113,113,2191.jpg,42,apples,test_coco,0.03,an apple,41,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
114,114,114,2192.jpg,24,apples,test_coco,0.03,an apple,29,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
115,115,115,2193.jpg,32,apples,test_coco,0.03,an apple,22,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
116,116,116,2194.jpg,38,apples,test_coco,0.03,an apple,23,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
117,117,117,2195.jpg,13,apples,test_coco,0.03,an apple,13,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
118,118,118,2197.jpg,90,apples,test_coco,0.03,an apple,100,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
119,119,119,2198.jpg,27,apples,test_coco,0.03,an apple,19,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
120,120,120,2199.jpg,13,apples,test_coco,0.03,an apple,21,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
121,121,121,2202.jpg,99,apples,test_coco,0.03,an apple,100,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
122,122,122,2203.jpg,22,apples,test_coco,0.03,an apple,27,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
123,123,123,2204.jpg,9,apples,test_coco,0.03,an apple,9,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
124,124,124,2206.jpg,88,apples,test_coco,0.03,an apple,77,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
125,125,125,2207.jpg,10,apples,test_coco,0.03,an apple,13,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
126,126,126,2208.jpg,13,apples,test_coco,0.03,an apple,11,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
127,127,127,2209.jpg,11,apples,test_coco,0.03,an apple,11,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
128,128,128,2210.jpg,41,apples,test_coco,0.03,an apple,36,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
129,129,129,2211.jpg,49,apples,test_coco,0.03,an apple,45,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
130,130,130,2213.jpg,97,apples,test_coco,0.03,an apple,14,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
131,131,131,2215.jpg,55,apples,test_coco,0.03,an apple,49,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
132,132,132,2216.jpg,36,apples,test_coco,0.03,an apple,38,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
133,133,133,2217.jpg,25,apples,test_coco,0.03,an apple,15,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
134,134,134,2218.jpg,15,apples,test_coco,0.03,an apple,20,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
135,135,135,2219.jpg,356,apples,test_coco,0.03,an apple,133,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
136,136,136,2220.jpg,16,apples,test_coco,0.03,an apple,22,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
137,137,137,2223.jpg,30,apples,test_coco,0.03,an apple,26,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
138,138,138,2225.jpg,19,apples,test_coco,0.03,an apple,17,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
139,139,139,2226.jpg,47,apples,test_coco,0.03,an apple,58,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
140,140,140,2227.jpg,11,apples,test_coco,0.03,an apple,10,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
141,141,141,2229.jpg,111,apples,test_coco,0.03,an apple,36,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
142,142,142,2232.jpg,96,apples,test_coco,0.03,an apple,89,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
143,143,143,2233.jpg,64,apples,test_coco,0.03,an apple,55,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
144,144,144,2234.jpg,11,apples,test_coco,0.03,an apple,12,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
145,145,145,2235.jpg,16,apples,test_coco,0.03,an apple,11,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
146,146,146,2236.jpg,98,apples,test_coco,0.03,an apple,78,"An apple is a round fruit with a smooth skin. It has a red or green color, depending on the variety. The skin is often slightly rough to the touch, and the fruit is filled with juicy, sweet pulp."
