,Unnamed: 0,filename,n_objects,class,split,optimized_prompts,threshold,prompt_notation,predicted_counts
37,37,2013.jpg,49,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
38,38,2014.jpg,18,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
39,39,2015.jpg,25,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
40,40,2016.jpg,24,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
41,41,2017.jpg,104,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
42,42,2018.jpg,68,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
43,43,2019.jpg,14,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
44,44,2020.jpg,36,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
45,45,2021.jpg,44,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
46,46,2025.jpg,60,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
47,47,2026.jpg,16,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
48,48,2027.jpg,23,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
49,49,2028.jpg,19,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
50,50,2029.jpg,79,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
51,51,2030.jpg,29,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
52,52,2031.jpg,31,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
53,53,2032.jpg,12,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
54,54,2033.jpg,20,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
55,55,2035.jpg,28,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
56,56,2036.jpg,27,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
57,57,2037.jpg,134,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
58,58,2038.jpg,198,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
59,59,2039.jpg,81,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
60,60,2040.jpg,32,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
61,61,2041.jpg,88,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
62,62,2042.jpg,81,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
63,63,2043.jpg,90,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
64,64,2044.jpg,27,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
65,65,2045.jpg,22,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
66,66,2046.jpg,20,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
67,67,2047.jpg,30,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
68,68,2048.jpg,43,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
69,69,2049.jpg,79,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
70,70,2051.jpg,15,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
71,71,2052.jpg,8,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
72,72,2053.jpg,47,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
73,73,2054.jpg,63,sunglasses,test,"['sunglasses', 'eyeglasses', 'eyewear', 'curved objects with dark lenses']",0.05,a pair of sunglasses,
74,74,2138.jpg,29,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
75,75,2139.jpg,61,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
76,76,2140.jpg,21,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
77,77,2141.jpg,11,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
78,78,2142.jpg,35,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
79,79,2143.jpg,9,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
80,80,2145.jpg,14,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
81,81,2146.jpg,23,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
82,82,2147.jpg,37,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
83,83,2150.jpg,9,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
84,84,2151.jpg,11,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
85,85,2152.jpg,22,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
86,86,2153.jpg,12,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
87,87,2155.jpg,18,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
88,88,2156.jpg,68,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
89,89,2157.jpg,116,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
90,90,2159.jpg,621,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
91,91,2162.jpg,34,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
92,92,2163.jpg,13,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
93,93,2164.jpg,23,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
94,94,2165.jpg,24,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
95,95,2166.jpg,119,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
96,96,2168.jpg,175,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
97,97,2170.jpg,147,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
98,98,2171.jpg,20,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
99,99,2172.jpg,86,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
100,100,2173.jpg,169,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
101,101,2174.jpg,41,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
102,102,2175.jpg,91,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
103,103,2176.jpg,73,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
104,104,2177.jpg,27,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
105,105,2178.jpg,10,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
106,106,2179.jpg,16,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
107,107,2180.jpg,223,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
108,108,2181.jpg,12,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
109,109,2182.jpg,39,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
110,110,2184.jpg,33,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
111,111,2189.jpg,8,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
112,112,2190.jpg,23,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
113,113,2191.jpg,42,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
114,114,2192.jpg,24,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
115,115,2193.jpg,32,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
116,116,2194.jpg,38,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
117,117,2195.jpg,13,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
118,118,2197.jpg,90,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
119,119,2198.jpg,27,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
120,120,2199.jpg,13,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
121,121,2202.jpg,99,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
122,122,2203.jpg,22,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
123,123,2204.jpg,9,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
124,124,2206.jpg,88,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
125,125,2207.jpg,10,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
126,126,2208.jpg,13,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
127,127,2209.jpg,11,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
128,128,2210.jpg,41,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
129,129,2211.jpg,49,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
130,130,2213.jpg,97,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
131,131,2215.jpg,55,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
132,132,2216.jpg,36,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
133,133,2217.jpg,25,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
134,134,2218.jpg,15,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
135,135,2219.jpg,356,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
136,136,2220.jpg,16,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
137,137,2223.jpg,30,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
138,138,2225.jpg,19,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
139,139,2226.jpg,47,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
140,140,2227.jpg,11,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
141,141,2229.jpg,111,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
142,142,2232.jpg,96,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
143,143,2233.jpg,64,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
144,144,2234.jpg,11,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
145,145,2235.jpg,16,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
146,146,2236.jpg,98,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
147,147,2237.jpg,20,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
148,148,2238.jpg,26,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
149,149,2239.jpg,17,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
150,150,2240.jpg,54,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
151,151,2241.jpg,25,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
152,152,2243.jpg,544,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
153,153,2244.jpg,12,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
154,154,2245.jpg,82,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
155,155,2246.jpg,37,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
156,156,2247.jpg,16,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
157,157,2248.jpg,53,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
158,158,2252.jpg,82,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
159,159,2255.jpg,20,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
160,160,2256.jpg,59,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
161,161,2257.jpg,23,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
162,162,2258.jpg,75,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
163,163,2259.jpg,174,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
164,164,2260.jpg,11,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
165,165,2261.jpg,174,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
166,166,2262.jpg,9,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
167,167,2264.jpg,12,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
168,168,2265.jpg,57,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
169,169,2267.jpg,9,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
170,170,2268.jpg,74,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
171,171,2269.jpg,11,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
172,172,2270.jpg,50,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
173,173,2271.jpg,42,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
174,174,2272.jpg,15,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
175,175,2273.jpg,165,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
176,176,2274.jpg,66,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
177,177,2275.jpg,38,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
178,178,2276.jpg,30,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
179,179,2277.jpg,49,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
180,180,2279.jpg,37,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
